flops 4.1 GMac params 30.79 M
Files already downloaded and verified
Files already downloaded and verified
/usr/local/miniconda3/envs/transformer/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
epoch 0 lr 0.005 loss 0.02296682750582695 acc 0.8868
epoch 1 lr 0.005 loss 0.0053395726948976515 acc 0.9517
epoch 2 lr 0.004998889760822896 loss 0.003374405268803239 acc 0.9659
epoch 3 lr 0.004995560138963611 loss 0.0026744692612439393 acc 0.9677
epoch 4 lr 0.00499001442035693 loss 0.002250103694871068 acc 0.9737
epoch 5 lr 0.004982258077957575 loss 0.0019491751899942756 acc 0.9751
epoch 6 lr 0.00497229876633906 loss 0.0017770839240774513 acc 0.9774
epoch 7 lr 0.00496014631413955 loss 0.0015899836316891015 acc 0.9779
epoch 8 lr 0.004945812714362181 loss 0.0014869954866170883 acc 0.9774
epoch 9 lr 0.00492931211253942 loss 0.0013694234463386239 acc 0.9781
epoch 10 lr 0.004910660792773121 loss 0.001265495756510645 acc 0.9792
epoch 11 lr 0.004889877161664096 loss 0.0012145692694000899 acc 0.9806
epoch 12 lr 0.004866981730147007 loss 0.0011233062094915657 acc 0.9787
epoch 13 lr 0.004841997093248566 loss 0.001030759423468262 acc 0.9794
epoch 14 lr 0.004814947907788958 loss 0.0010599966826103627 acc 0.9825
epoch 15 lr 0.004785860868048545 loss 0.0009851999517716467 acc 0.9808
epoch 16 lr 0.004754764679423828 loss 0.0009096015354525298 acc 0.9821
epoch 17 lr 0.004721690030098693 loss 0.000884916003588587 acc 0.9822
epoch 18 lr 0.0046866695607588734 loss 0.0008327532461099327 acc 0.9826
epoch 19 lr 0.004649737832379534 loss 0.0007998243760317564 acc 0.9835
epoch 20 lr 0.004610931292117764 loss 0.0007885308302659541 acc 0.9826
epoch 21 lr 0.004570288237343631 loss 0.0007519344519544393 acc 0.9836
epoch 22 lr 0.004527848777845303 loss 0.0007282614472229034 acc 0.9834
epoch 23 lr 0.004483654796245526 loss 0.0006840696563292295 acc 0.9836
epoch 24 lr 0.004437749906668534 loss 0.0006888634864334017 acc 0.9836
epoch 25 lr 0.0043901794116981765 loss 0.0006811828751862049 acc 0.9827
epoch 26 lr 0.004340990257669732 loss 0.0006425417444994673 acc 0.9835
epoch 27 lr 0.00429023098833955 loss 0.0006251276229321957 acc 0.9838
epoch 28 lr 0.0042379516969782175 loss 0.0006450239605084062 acc 0.9843
epoch 29 lr 0.0041842039769345515 loss 0.0006248383486503735 acc 0.9841
epoch 30 lr 0.004129040870719197 loss 0.000583602235019207 acc 0.9842
epoch 31 lr 0.004072516817658065 loss 0.0005859831721615047 acc 0.9845
epoch 32 lr 0.004014687600167294 loss 0.0005669604051765054 acc 0.9856
epoch 33 lr 0.003955610288702742 loss 0.0005819109706534073 acc 0.9847
epoch 34 lr 0.003895343185438335 loss 0.0005327977928798645 acc 0.9847
