flops 4.43 GMac params 23.53 M
Files already downloaded and verified
Files already downloaded and verified
/usr/local/miniconda3/envs/transformer/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
epoch 0 lr 0.005 loss 0.01451965250313282 acc 0.9304
epoch 1 lr 0.005 loss 0.003946305798515678 acc 0.9613
epoch 2 lr 0.004998889760822896 loss 0.0028745486407727003 acc 0.9684
epoch 3 lr 0.004995560138963611 loss 0.002356171647682786 acc 0.9709
epoch 4 lr 0.00499001442035693 loss 0.002013854655697942 acc 0.974
epoch 5 lr 0.004982258077957575 loss 0.001771001558303833 acc 0.9748
epoch 6 lr 0.00497229876633906 loss 0.0016024184875749051 acc 0.9786
epoch 7 lr 0.00496014631413955 loss 0.001450793990008533 acc 0.9799
epoch 8 lr 0.004945812714362181 loss 0.0013678547706268728 acc 0.9778
epoch 9 lr 0.00492931211253942 loss 0.0012266960461437702 acc 0.9793
epoch 10 lr 0.004910660792773121 loss 0.0011587350234948098 acc 0.9809
epoch 11 lr 0.004889877161664096 loss 0.0010413751204498111 acc 0.9817
epoch 12 lr 0.004866981730147007 loss 0.0009812089044693858 acc 0.982
epoch 20 lr 0.004610931292117764 loss 0.0006794165872782468 acc 0.984
epoch 21 lr 0.004570288237343631 loss 0.0006703538618609309 acc 0.984
epoch 22 lr 0.004527848777845303 loss 0.0006452826981339603 acc 0.9836
epoch 23 lr 0.004483654796245526 loss 0.0006135826821997762 acc 0.9846
epoch 24 lr 0.004437749906668534 loss 0.0006109603314567358 acc 0.9837
epoch 25 lr 0.0043901794116981765 loss 0.0005988638265710324 acc 0.9845
epoch 26 lr 0.004340990257669732 loss 0.0005622227085754275 acc 0.9843
epoch 27 lr 0.00429023098833955 loss 0.0005454501267755404 acc 0.9841
epoch 28 lr 0.0042379516969782175 loss 0.0005461954663880169 acc 0.9844
epoch 29 lr 0.0041842039769345515 loss 0.0005361281928047538 acc 0.9847
epoch 30 lr 0.004129040870719197 loss 0.0005325547565054148 acc 0.9843
epoch 31 lr 0.004072516817658065 loss 0.0005179042499605566 acc 0.9846
epoch 32 lr 0.004014687600167294 loss 0.0005312476673303172 acc 0.9845
epoch 33 lr 0.003955610288702742 loss 0.0004964595058793202 acc 0.9851
epoch 34 lr 0.003895343185438335 loss 0.00048622323479503393 acc 0.9856
epoch 35 lr 0.0038339457667288593 loss 0.0004717454888066277 acc 0.9855
epoch 36 lr 0.0037714786244139806 loss 0.00045293751675169915 acc 0.985
epoch 37 lr 0.0037080034060214136 loss 0.0004585308056557551 acc 0.9856
epoch 38 lr 0.003643582753928256 loss 0.0004418647565552965 acc 0.9859
epoch 39 lr 0.003578280243540526 loss 0.000431509796786122 acc 0.9857
epoch 40 lr 0.003512160320551906 loss 0.00043871812887489795 acc 0.985
epoch 41 lr 0.0034452882373436316 loss 0.0004303951378678903 acc 0.9857
epoch 42 lr 0.0033777299885882663 loss 0.0004215609412547201 acc 0.9855
epoch 43 lr 0.003309552246120923 loss 0.00041741718096658585 acc 0.9866
epoch 44 lr 0.0032408222931422214 loss 0.00041309102605096995 acc 0.9854
epoch 45 lr 0.0031716079578178805 loss 0.00043154940790496765 acc 0.9863
epoch 46 lr 0.00310197754634052 loss 0.00039694562945049254 acc 0.9859
epoch 47 lr 0.003031999775519685 loss 0.0003909069387987256 acc 0.9863
epoch 48 lr 0.0029617437049666573 loss 0.0003820234747836366 acc 0.9858
epoch 49 lr 0.0028912786689409553 loss 0.0003827840640349314 acc 0.9858
epoch 50 lr 0.0028206742079257886 loss 0.0003935808572592214 acc 0.9858
epoch 51 lr 0.0027500000000000003 loss 0.00037719845064450053 acc 0.986
epoch 52 lr 0.0026793257920742115 loss 0.0003748970505455509 acc 0.9856
epoch 53 lr 0.002608721331059045 loss 0.00037808357995469124 acc 0.9863
epoch 54 lr 0.002538256295033343 loss 0.0003659463596902788 acc 0.9862
epoch 55 lr 0.002468000224480315 loss 0.0003727265686402097 acc 0.9862
epoch 56 lr 0.0023980224536594807 loss 0.00035562234421260654 acc 0.987
epoch 57 lr 0.0023283920421821197 loss 0.0003470553391100839 acc 0.9864
epoch 58 lr 0.0022591777068577796 loss 0.0003545056531764567 acc 0.9862
epoch 59 lr 0.0021904477538790767 loss 0.0003425356584042311 acc 0.9852
epoch 60 lr 0.0021222700114117343 loss 0.00035044168159598484 acc 0.9858
epoch 61 lr 0.0020547117626563693 loss 0.00033702098632231353 acc 0.9861
epoch 62 lr 0.0019878396794480945 loss 0.00034007266846485434 acc 0.9861
epoch 63 lr 0.0019217197564594753 loss 0.0003331023257644847 acc 0.9865
epoch 64 lr 0.0018564172460717432 loss 0.00034464992174878715 acc 0.9864
epoch 65 lr 0.0017919965939785865 loss 0.00032539780636783687 acc 0.9866
epoch 66 lr 0.0017285213755860195 loss 0.0003441130680590868 acc 0.9867
epoch 67 lr 0.0016660542332711404 loss 0.0003362859463295899 acc 0.9861
epoch 68 lr 0.0016046568145616647 loss 0.0003381583665218204 acc 0.9864
epoch 69 lr 0.0015443897112972565 loss 0.00032912717507686465 acc 0.9862
epoch 70 lr 0.0014853123998327057 loss 0.0003210073735518381 acc 0.9867
epoch 71 lr 0.001427483182341936 loss 0.0003394133446505293 acc 0.9872
epoch 72 lr 0.0013709591292808026 loss 0.0003205076373857446 acc 0.9867
epoch 73 lr 0.0013157960230654481 loss 0.00032229703765828164 acc 0.9867
epoch 74 lr 0.0012620483030217832 loss 0.0003123664738237858 acc 0.9868
epoch 75 lr 0.0012097690116604505 loss 0.00031417162417899817 acc 0.9878
epoch 76 lr 0.0011590097423302681 loss 0.0003090977874514647 acc 0.987
